grupo,nome_grupo,n_variaveis,variaveis_com_log,modelo,nome_modelo,k,menor_cluster,silhueta,davies_bouldin,calinski_harabasz,inercia
D,Mercado + renda + marketing,6,1,kmeans,KMeans,6,53,0.22844525520138123,1.3551823718513925,259.1779362983456,1419.9487337512037
D,Mercado + renda + marketing,6,1,kmeans,KMeans,7,52,0.2017385320729426,1.3847133656770425,236.40939579585867,1335.724694443712
D,Mercado + renda + marketing,6,1,kmeans,KMeans,8,31,0.1998464067526721,1.415583258977085,220.29017196834482,1260.152489185484
D,Mercado + renda + marketing,6,1,kmeans,KMeans,9,31,0.19448548001795493,1.3757132219325119,209.2781528738417,1188.1158201537614
D,Mercado + renda + marketing,6,1,kmeans,KMeans,10,31,0.19560532661697497,1.402257301725888,199.07258121639765,1130.4114992808634
D,Mercado + renda + marketing,6,1,ward,Aglomerativo (Ward),2,236,0.33185742202785895,1.2047020218165048,390.2003807938776,
D,Mercado + renda + marketing,6,1,ward,Aglomerativo (Ward),3,147,0.18308747507627804,1.5783041004581717,272.8127340887054,
D,Mercado + renda + marketing,6,1,ward,Aglomerativo (Ward),4,56,0.17875616524779106,1.4852402725081275,244.48696914175872,
D,Mercado + renda + marketing,6,1,ward,Aglomerativo (Ward),5,43,0.1770034029334363,1.4277252906136269,226.54483116920747,
D,Mercado + renda + marketing,6,1,ward,Aglomerativo (Ward),6,43,0.15527053615117883,1.3903648639966875,206.5616215731805,
D,Mercado + renda + marketing,6,1,ward,Aglomerativo (Ward),7,43,0.15868794005317102,1.5232747708284957,194.6243314762178,
D,Mercado + renda + marketing,6,1,ward,Aglomerativo (Ward),8,43,0.15497386819146938,1.5636499795617937,185.33933554149115,
D,Mercado + renda + marketing,6,1,ward,Aglomerativo (Ward),9,43,0.15136316065313388,1.6147515920483935,177.97258109159657,
D,Mercado + renda + marketing,6,1,ward,Aglomerativo (Ward),10,27,0.14946977679814036,1.567851365709174,169.00493212629675,
D,Mercado + renda + marketing,6,1,mistura_gaussiana,Mistura Gaussiana,2,236,0.3255235515766737,1.2388948175885477,369.84053912338845,
D,Mercado + renda + marketing,6,1,mistura_gaussiana,Mistura Gaussiana,3,94,0.23732583409777736,1.390627975014323,262.3533217456192,
D,Mercado + renda + marketing,6,1,mistura_gaussiana,Mistura Gaussiana,4,94,0.19032038359170564,1.7919133343600648,218.7479751161646,
D,Mercado + renda + marketing,6,1,mistura_gaussiana,Mistura Gaussiana,5,94,0.1677158359586663,1.7659081233892988,186.56004085843833,
D,Mercado + renda + marketing,6,1,mistura_gaussiana,Mistura Gaussiana,6,46,0.14791642374832906,1.796004890141048,174.54278294410867,
D,Mercado + renda + marketing,6,1,mistura_gaussiana,Mistura Gaussiana,7,65,0.12685812044919767,1.653995828685458,170.46878154591855,
D,Mercado + renda + marketing,6,1,mistura_gaussiana,Mistura Gaussiana,8,9,0.11479822789045613,1.8216266768631033,159.49458416614198,
D,Mercado + renda + marketing,6,1,mistura_gaussiana,Mistura Gaussiana,9,34,0.11297670402967895,1.7542025558737921,148.67922325584053,
D,Mercado + renda + marketing,6,1,mistura_gaussiana,Mistura Gaussiana,10,17,0.10896887440760511,2.149683817657519,126.0019678440712,
E,Mercado + risco + concorrência + demanda,6,3,kmeans,KMeans,2,253,0.27417944276437634,1.5809672907229302,234.63613915659946,3070.3507207427883
E,Mercado + risco + concorrência + demanda,6,3,kmeans,KMeans,3,80,0.2647127536291476,1.4265329649514638,195.69477881839865,2621.7922426137625
